State,avg
Alabama,0.0
Alaska,0.0
Arizona,0.0
Arkansas,1.428571429
California,44.51428571499999
Colorado,1.4714285715
Connecticut,5.085714287
Delaware,0.0
District of Columbia,0.0
Florida,16.5714285713
Georgia,0.0
Hawaii,0.0
Idaho,0.0
Illinois,2.5285714286000003
Indiana,0.0
Iowa,0.0
Kansas,0.0
Kentucky,0.0
Louisiana,0.0
Maine,0.0
Maryland,0.0
Massachusetts,0.0
Michigan,1.428571429
Minnesota,0.0
Mississippi,0.0
Missouri,2.9142857141999996
Montana,0.0
Nebraska,0.0
Nevada,0.0
New Hampshire,0.0
New Jersey,5.442857141900001
New Mexico,0.0
New York,3.3142857142000004
North Carolina,28.800000001
North Dakota,0.0
Ohio,0.0
Oklahoma,0.0
Oregon,0.0
Pennsylvania,7.214285715
Rhode Island,0.0
South Carolina,0.0
South Dakota,0.0
Tennessee,0.0
Texas,8.2428571424
Utah,0.0
Vermont,0.0
Virginia,9.457142859
Washington,28.028571429
West Virginia,0.0
Wisconsin,4.6285714274
Wyoming,0.0
